State,Male,Female,White,Black,Hispanic/Latino,Asian,White + BA/BS,White + No BA/BS,Republican,Democrat,Independent,65+
AL,0.63,0.61,0.77,0.11,N/A,N/A,0.65,0.85,0.97,0.05,0.44,0.77
AZ,0.5,0.48,0.52,N/A,0.37,N/A,0.46,0.57,0.9,0.03,0.44,0.5
CA,0.34,0.35,0.47,0.15,0.23,0.22,0.36,0.59,0.89,0.02,0.35,0.37
CO,0.47,0.37,0.41,N/A,0.38,N/A,0.3,0.51,0.91,0.02,0.4,0.42
FL,0.54,0.48,0.62,0.1,0.46,N/A,0.57,0.66,0.93,0.05,0.43,0.55
GA,0.55,0.45,0.69,0.11,0.37,N/A,0.55,0.79,0.94,0.04,0.44,0.56
IA,0.58,0.48,0.55,0.22,0.31,N/A,0.46,0.6,0.93,0.07,0.46,0.54
KY,0.6,0.63,0.66,0.25,N/A,N/A,0.54,0.7,0.95,0.15,0.55,0.63
ME,0.52,0.38,0.44,N/A,N/A,N/A,0.3,0.53,0.89,0.05,0.35,0.4
MI,0.54,0.43,0.55,0.07,0.44,N/A,0.46,0.6,0.94,0.03,0.45,0.49
MN,0.5,0.41,0.47,0.21,0.38,N/A,0.35,0.57,0.91,0.04,0.4,0.51
MT,0.63,0.52,0.58,N/A,N/A,N/A,0.47,0.63,0.92,0.03,0.55,0.55
NV,0.51,0.44,0.56,0.18,0.35,0.35,0.48,0.6,0.94,0.05,0.44,0.53
NH,0.52,0.4,0.46,N/A,N/A,N/A,0.34,0.55,0.9,0.06,0.35,0.43
NY,0.39,0.37,0.48,0.06,0.22,N/A,0.34,0.62,0.81,0.03,0.4,0.47
NC,0.54,0.46,0.66,0.07,0.42,N/A,0.49,0.78,0.96,0.03,0.46,0.59
OH,0.59,0.48,0.6,0.08,0.39,N/A,0.46,0.67,0.93,0.07,0.48,0.62
OR,0.45,0.35,0.39,N/A,N/A,N/A,0.22,0.48,0.93,0.02,0.43,0.44
PA,0.55,0.44,0.57,0.07,0.27,N/A,0.45,0.66,0.91,0.07,0.44,0.53
SC,0.57,0.53,0.73,0.07,N/A,N/A,0.63,0.8,0.95,0.04,0.5,0.6
TX,0.57,0.48,0.66,0.09,0.41,0.3,0.56,0.73,0.94,0.04,0.45,0.58
VA,0.48,0.38,0.53,0.1,0.36,0.38,0.45,0.62,0.9,0.04,0.38,0.54
WA,0.46,0.33,0.36,N/A,N/A,N/A,0.18,0.47,0.88,0.03,0.4,0.4
WI,0.54,0.43,0.52,0.08,0.37,N/A,0.43,0.57,0.93,0.04,0.42,0.53
National,0.53,0.42,0.58,0.12,0.32,0.34,0.48,0.67,0.94,0.05,0.41,0.52
