State,Biden,Trump,Senate-D,Senate-R,Senate-I
AL,0.366,0.62,0.397,0.601,N/A
AK,0.428,0.528,0.412,0.539,N/A
AZ,0.494,0.491,0.512,0.488,N/A
AR,0.348,0.624,N/A,0.665,0.335
CA,0.635,0.343,N/A,N/A,N/A
CO,0.554,0.419,0.535,0.442,N/A
CT,0.592,0.392,N/A,N/A,N/A
DE,0.587,0.398,0.594,0.379,N/A
DC,0.921,0.054,N/A,N/A,N/A
FL,0.479,0.512,N/A,N/A,N/A
GA,0.495,0.492,0.506,0.494,N/A
HI,0.637,0.343,N/A,N/A,N/A
ID,0.331,0.638,0.332,0.626,N/A
IL,0.575,0.406,0.549,0.389,N/A
IN,0.41,0.57,N/A,N/A,N/A
IA,0.449,0.531,0.452,0.518,N/A
KS,0.415,0.561,0.418,0.532,N/A
KY,0.362,0.621,0.382,0.578,N/A
LA,0.399,0.585,0.19,0.593,N/A
ME,0.531,0.44,0.424,0.51,N/A
MD,0.654,0.322,N/A,N/A,N/A
MA,0.656,0.321,0.662,0.33,N/A
MI,0.506,0.478,0.499,0.482,N/A
MN,0.524,0.453,0.488,0.435,N/A
MS,0.41,0.575,0.441,0.541,N/A
MO,0.414,0.568,N/A,N/A,N/A
MT,0.405,0.569,0.45,0.55,N/A
NE,0.392,0.582,0.244,0.627,N/A
NV,0.501,0.477,N/A,N/A,N/A
NH,0.527,0.454,0.566,0.419,N/A
NJ,0.571,0.413,0.572,0.409,N/A
NM,0.543,0.435,0.517,0.456,N/A
NY,0.609,0.377,N/A,N/A,N/A
NC,0.486,0.499,0.469,0.487,N/A
ND,0.318,0.651,N/A,N/A,N/A
OH,0.452,0.533,N/A,N/A,N/A
OK,0.323,0.654,0.328,0.629,N/A
OR,0.565,0.404,0.569,0.393,N/A
PA,0.5,0.488,N/A,N/A,N/A
RI,0.594,0.386,0.666,0.334,N/A
SC,0.434,0.551,0.442,0.545,N/A
SD,0.356,0.618,0.343,0.657,N/A
TN,0.375,0.607,0.352,0.622,N/A
TX,0.465,0.521,0.439,0.535,N/A
UT,0.376,0.581,N/A,N/A,N/A
VT,0.661,0.307,N/A,N/A,N/A
VA,0.541,0.44,0.56,0.44,N/A
WA,0.58,0.388,N/A,N/A,N/A
WV,0.297,0.686,0.27,0.703,N/A
WI,0.495,0.488,N/A,N/A,N/A
WY,0.266,0.699,0.269,0.731,N/A
GA-special,N/A,N/A,0.51,0.49,N/A
