,State,Male,Female,Black,Hispanic/Latino,White + BA/BS,White + No BA/BS,Republican,Democrat,Independent,65+,Candidate,Pre Pollster,Post Pollster
0,Alabama,0.06999999999999995,-0.010000000000000009,0.050000000000000044,,-0.034999999999999976,-0.03,-0.009999999999999998,0.0,0.03999999999999998,-0.06999999999999998,Biden,SurveyMonkey,Edison
1,Alabama,-0.040000000000000036,0.06999999999999995,0.039999999999999994,,0.04500000000000004,0.06499999999999995,0.030000000000000027,0.030000000000000002,0.16999999999999998,0.10999999999999999,Trump,SurveyMonkey,Edison
2,Arizona,0.07999999999999996,-0.040000000000000036,,0.020000000000000018,0.15000000000000002,0.024999999999999967,0.039999999999999994,0.010000000000000009,0.040000000000000036,0.020000000000000018,Biden,SurveyMonkey,Edison
3,Arizona,-0.050000000000000044,0.07999999999999996,,0.04999999999999999,-0.08000000000000002,-0.0050000000000000044,-0.020000000000000018,0.009999999999999998,0.19,0.010000000000000009,Trump,SurveyMonkey,Edison
4,California,0.08999999999999997,-0.030000000000000027,0.019999999999999907,0.10999999999999999,-0.07499999999999996,-0.07999999999999996,0.03,0.010000000000000009,0.06999999999999995,0.0,Biden,SurveyMonkey,Edison
5,California,-0.06,0.06999999999999995,0.009999999999999981,-0.04000000000000001,0.09499999999999997,0.11499999999999999,0.0,0.0,0.13999999999999999,0.02999999999999997,Trump,SurveyMonkey,Edison
6,Colorado,0.020000000000000018,0.0,,-0.050000000000000044,0.015000000000000013,0.07,0.030000000000000006,0.010000000000000009,0.07000000000000006,0.039999999999999925,Biden,SurveyMonkey,Edison
7,Colorado,0.0,0.02999999999999997,,0.08000000000000002,-0.0050000000000000044,-0.015000000000000013,-0.020000000000000018,0.01,0.15000000000000002,0.0,Trump,SurveyMonkey,Edison
8,Florida,0.040000000000000036,-0.020000000000000018,0.07999999999999996,-0.020000000000000018,-0.10000000000000003,0.0050000000000000044,0.020000000000000004,-0.010000000000000009,0.040000000000000036,-0.010000000000000009,Biden,SurveyMonkey,Edison
9,Florida,0.0,0.07,-0.009999999999999995,0.08000000000000002,0.13999999999999996,0.040000000000000036,0.010000000000000009,0.030000000000000002,0.19,0.06000000000000005,Trump,SurveyMonkey,Edison
10,Georgia,0.02999999999999997,0.020000000000000018,0.010000000000000009,0.09999999999999998,-0.02999999999999997,-0.03,0.019999999999999997,0.0,0.010000000000000009,0.010000000000000009,Biden,SurveyMonkey,Edison
11,Georgia,0.0,0.030000000000000027,0.05,-0.010000000000000009,0.06500000000000006,0.06500000000000006,0.0,0.03,0.23,0.030000000000000027,Trump,SurveyMonkey,Edison
12,Iowa,0.040000000000000036,-0.030000000000000027,0.09999999999999998,0.10999999999999999,-0.06999999999999995,0.0,0.030000000000000006,-0.019999999999999907,0.09000000000000002,-0.04999999999999999,Biden,SurveyMonkey,Edison
13,Iowa,-0.020000000000000018,0.08999999999999997,-0.060000000000000026,0.02999999999999997,0.08500000000000002,0.04999999999999993,-0.009999999999999898,0.04000000000000001,0.18,0.09000000000000002,Trump,SurveyMonkey,Edison
14,Kentucky,0.04999999999999999,-0.06,-0.10000000000000009,,-0.08000000000000002,0.0050000000000000044,0.0,-0.030000000000000027,0.0,-0.04999999999999999,Biden,SurveyMonkey,Edison
15,Kentucky,-0.050000000000000044,0.10999999999999999,0.13,,0.10000000000000003,0.02499999999999991,0.010000000000000009,0.06,0.25000000000000006,0.07999999999999996,Trump,SurveyMonkey,Edison
16,Maine,-0.09000000000000002,0.0,,,-0.04499999999999993,-0.04999999999999999,0.01999999999999999,-0.020000000000000018,0.10999999999999999,-0.030000000000000027,Biden,SurveyMonkey,Edison
17,Maine,0.07,0.030000000000000027,,,0.065,0.050000000000000044,-0.010000000000000009,0.020000000000000004,0.04999999999999999,0.050000000000000044,Trump,SurveyMonkey,Edison
18,Michigan,0.010000000000000009,0.019999999999999907,0.09000000000000008,-0.010000000000000009,-0.06999999999999995,0.0050000000000000044,0.019999999999999997,0.010000000000000009,0.07,0.020000000000000018,Biden,SurveyMonkey,Edison
19,Michigan,0.030000000000000027,0.04999999999999999,-0.03,0.07,0.11000000000000004,0.05999999999999994,0.009999999999999898,0.009999999999999998,0.19,0.03999999999999998,Trump,SurveyMonkey,Edison
20,Minnesota,0.02999999999999997,-0.030000000000000027,0.09999999999999998,0.039999999999999925,-0.050000000000000044,-0.010000000000000009,0.04,-0.020000000000000018,0.08000000000000007,-0.09999999999999998,Biden,SurveyMonkey,Edison
21,Minnesota,-0.010000000000000009,0.07999999999999996,-0.04000000000000001,0.04999999999999999,0.065,0.05999999999999994,-0.029999999999999916,0.03,0.15000000000000002,0.14,Trump,SurveyMonkey,Edison
22,Montana,-0.03999999999999998,0.0,,,-0.08999999999999997,-0.004999999999999949,0.039999999999999994,-0.020000000000000018,-0.02999999999999997,-0.02999999999999997,Biden,SurveyMonkey,Edison
23,Montana,0.050000000000000044,0.050000000000000044,,,0.12,0.030000000000000027,-0.039999999999999925,0.019999999999999997,0.23000000000000004,0.07000000000000006,Trump,SurveyMonkey,Edison
24,North Carolina,0.030000000000000027,-0.010000000000000009,0.06000000000000005,0.019999999999999907,-0.08999999999999997,-0.08499999999999999,0.0,0.010000000000000009,0.020000000000000018,-0.07999999999999996,Biden,SurveyMonkey,Edison
25,North Carolina,0.0,0.06,0.0,0.04999999999999999,0.11499999999999999,0.12,0.020000000000000018,0.009999999999999998,0.18,0.10999999999999999,Trump,SurveyMonkey,Edison
26,New Hampshire,0.009999999999999953,-0.050000000000000044,,,-0.03500000000000003,-0.02999999999999997,0.04000000000000001,-0.040000000000000036,0.12,-0.019999999999999907,Biden,SurveyMonkey,Edison
27,New Hampshire,0.030000000000000027,0.09000000000000002,,,0.065,0.07500000000000007,-0.010000000000000009,0.049999999999999996,0.08999999999999997,0.04999999999999999,Trump,SurveyMonkey,Edison
28,Nevada,0.050000000000000044,0.020000000000000018,0.030000000000000027,0.030000000000000027,-0.030000000000000027,0.015000000000000013,0.0,0.010000000000000009,0.04999999999999999,0.0,Biden,SurveyMonkey,Edison
29,Nevada,-0.030000000000000027,0.020000000000000018,0.03,0.009999999999999953,0.044999999999999984,0.025000000000000022,0.009999999999999898,0.020000000000000004,0.16999999999999998,0.040000000000000036,Trump,SurveyMonkey,Edison
30,New York,0.06999999999999995,-0.050000000000000044,0.08999999999999997,0.07000000000000006,-0.07999999999999996,-0.05499999999999999,0.09999999999999999,0.020000000000000018,0.07999999999999996,-0.10999999999999999,Biden,SurveyMonkey,Edison
31,New York,-0.019999999999999962,0.10999999999999999,-0.020000000000000004,0.010000000000000009,0.09000000000000002,0.10999999999999999,-0.06999999999999995,0.009999999999999998,0.18000000000000002,0.13999999999999996,Trump,SurveyMonkey,Edison
32,National,0.020000000000000018,0.009999999999999898,0.050000000000000044,0.08000000000000007,-0.08499999999999996,-0.02999999999999997,0.009999999999999995,-0.020000000000000018,0.06000000000000005,-0.050000000000000044,Biden,SurveyMonkey,Edison
33,National,0.010000000000000009,0.03999999999999998,0.009999999999999995,-0.02999999999999997,0.11499999999999999,0.07500000000000007,0.019999999999999907,0.030000000000000002,0.16999999999999998,0.08000000000000002,Trump,SurveyMonkey,Edison
34,Ohio,0.0,-0.010000000000000009,0.09000000000000008,0.05999999999999994,-0.05499999999999994,-0.034999999999999976,0.030000000000000006,-0.029999999999999916,0.03999999999999998,-0.09000000000000002,Biden,SurveyMonkey,Edison
35,Ohio,0.020000000000000018,0.06,-0.03,0.010000000000000009,0.08000000000000002,0.07500000000000007,0.0,0.04000000000000001,0.21999999999999997,0.13,Trump,SurveyMonkey,Edison
36,Oregon,0.0,-0.010000000000000009,,,0.0050000000000000044,0.025000000000000022,0.020000000000000004,0.020000000000000018,0.020000000000000018,-0.04999999999999993,Biden,SurveyMonkey,Edison
37,Oregon,0.010000000000000009,0.04999999999999999,,,0.010000000000000009,0.014999999999999958,0.010000000000000009,0.0,0.19999999999999998,0.06,Trump,SurveyMonkey,Edison
38,Pennsylvania,0.020000000000000018,-0.019999999999999907,0.10000000000000009,0.06999999999999995,-0.08999999999999997,-0.034999999999999976,0.020000000000000004,-0.010000000000000009,0.08000000000000002,-0.04999999999999999,Biden,SurveyMonkey,Edison
39,Pennsylvania,0.010000000000000009,0.06,-0.039999999999999994,-0.010000000000000009,0.125,0.09500000000000008,0.0,0.030000000000000006,0.18,0.08000000000000002,Trump,SurveyMonkey,Edison
40,South Carolina,0.06999999999999995,-0.06,0.06000000000000005,,-0.10999999999999999,-0.04999999999999999,0.010000000000000002,0.0,0.020000000000000018,-0.019999999999999962,Biden,SurveyMonkey,Edison
41,South Carolina,-0.040000000000000036,0.10000000000000003,0.0,,0.14,0.09500000000000008,0.010000000000000009,0.03,0.26,0.05999999999999994,Trump,SurveyMonkey,Edison
42,Texas,0.010000000000000009,0.010000000000000009,0.08000000000000007,0.039999999999999925,-0.06,-0.0050000000000000044,0.010000000000000002,0.010000000000000009,0.06,-0.010000000000000009,Biden,SurveyMonkey,Edison
43,Texas,0.009999999999999898,0.04999999999999999,-0.010000000000000009,0.04999999999999999,0.08000000000000007,0.04499999999999993,0.009999999999999898,0.02,0.22,0.04999999999999993,Trump,SurveyMonkey,Edison
44,Virginia,0.020000000000000018,0.010000000000000009,0.040000000000000036,0.040000000000000036,-0.09999999999999998,0.025000000000000022,0.039999999999999994,-0.010000000000000009,0.08999999999999997,-0.10000000000000003,Biden,SurveyMonkey,Edison
45,Virginia,0.0,0.03999999999999998,0.03,0.0,0.12,0.030000000000000027,-0.020000000000000018,0.03,0.13,0.14,Trump,SurveyMonkey,Edison
46,Washington,-0.040000000000000036,0.020000000000000018,,,0.08000000000000007,0.020000000000000018,0.05,-0.010000000000000009,0.06000000000000005,-0.040000000000000036,Biden,SurveyMonkey,Edison
47,Washington,0.040000000000000036,0.04999999999999999,,,-0.06,0.034999999999999976,-0.040000000000000036,0.019999999999999997,0.18000000000000002,0.06,Trump,SurveyMonkey,Edison
48,Wisconsin,0.020000000000000018,-0.019999999999999907,0.14,0.020000000000000018,-0.07999999999999996,-0.0050000000000000044,0.04000000000000001,-0.010000000000000009,0.08000000000000002,-0.050000000000000044,Biden,SurveyMonkey,Edison
49,Wisconsin,0.010000000000000009,0.08000000000000002,-0.06000000000000001,0.03999999999999998,0.11499999999999999,0.04499999999999993,-0.009999999999999898,0.03,0.15999999999999998,0.10000000000000003,Trump,SurveyMonkey,Edison
50,Arizona,-0.027000000000000024,0.05700000000000005,,0.483,,,0.028999999999999998,0.09199999999999997,-0.03700000000000003,0.0020000000000000018,Biden,Emerson,Edison
51,Arizona,0.08799999999999997,-0.019000000000000017,,0.07,,,-0.010999999999999899,-0.092,0.136,-0.007000000000000006,Trump,Emerson,Edison
