State,Male,Female,White,Black,Hispanic/Latino,Asian,White + BA/BS,White + No BA/BS,Republican,Democrat,Independent,65+
AL,0.35,0.39,0.21,0.89,N/A,N/A,0.32,0.14,0.02,0.95,0.49,0.23
AZ,0.48,0.51,0.46,N/A,0.61,N/A,0.53,0.41,0.09,0.96,0.53,0.49
CA,0.63,0.63,0.51,0.82,0.75,0.76,0.62,0.39,0.1,0.97,0.57,0.61
CO,0.49,0.61,0.57,N/A,0.58,N/A,0.67,0.48,0.07,0.98,0.55,0.57
FL,0.45,0.51,0.37,0.89,0.53,N/A,0.43,0.34,0.07,0.94,0.54,0.45
GA,0.43,0.54,0.3,0.88,0.62,N/A,0.44,0.2,0.06,0.96,0.53,0.44
IA,0.39,0.51,0.43,0.76,0.67,N/A,0.51,0.39,0.07,0.93,0.5,0.45
KY,0.36,0.36,0.33,0.71,N/A,N/A,0.44,0.28,0.04,0.84,0.39,0.36
ME,0.42,0.61,0.53,N/A,N/A,N/A,0.68,0.43,0.09,0.94,0.59,0.59
MI,0.44,0.57,0.44,0.92,0.55,N/A,0.53,0.39,0.06,0.97,0.51,0.51
MN,0.47,0.58,0.51,0.77,0.6,N/A,0.62,0.42,0.08,0.95,0.55,0.48
MT,0.33,0.47,0.39,N/A,N/A,N/A,0.52,0.34,0.06,0.96,0.4,0.44
NV,0.46,0.54,0.43,0.8,0.61,0.64,0.49,0.39,0.05,0.95,0.5,0.46
NH,0.47,0.58,0.52,N/A,N/A,N/A,0.64,0.44,0.1,0.94,0.62,0.56
NY,0.6,0.62,0.5,0.94,0.76,N/A,0.63,0.37,0.18,0.97,0.57,0.51
NC,0.45,0.53,0.33,0.92,0.57,N/A,0.5,0.21,0.04,0.97,0.5,0.4
OH,0.39,0.51,0.39,0.91,0.57,N/A,0.52,0.31,0.07,0.92,0.48,0.37
OR,0.51,0.63,0.58,N/A,N/A,N/A,0.75,0.5,0.07,0.98,0.52,0.54
PA,0.44,0.55,0.42,0.92,0.69,N/A,0.54,0.34,0.08,0.92,0.52,0.46
SC,0.41,0.45,0.26,0.9,N/A,N/A,0.36,0.19,0.04,0.96,0.46,0.4
TX,0.4,0.51,0.33,0.9,0.58,0.63,0.42,0.26,0.05,0.96,0.51,0.41
VA,0.49,0.61,0.45,0.89,0.61,0.6,0.52,0.38,0.09,0.96,0.57,0.45
WA,0.48,0.67,0.63,N/A,N/A,N/A,0.8,0.52,0.1,0.97,0.56,0.58
WI,0.44,0.56,0.46,0.92,0.6,N/A,0.56,0.41,0.07,0.96,0.54,0.47
National,0.45,0.57,0.41,0.87,0.65,0.61,0.51,0.32,0.06,0.94,0.54,0.47
