State,Male,Female,White,Black,Hispanic/Latino,Asian,White + BA/BS,White + No BA/BS,Republican,Democrat,Independent,65+
AZ,0.507,0.453,0.451,0.636,0.127,0.545,N/A,N/A,0.061,0.868,0.567,0.488
FL,0.414,0.586,0.421,0.75,0.746,0.6,N/A,N/A,0.15,0.88,0.461,0.531
GA,0.396,0.545,0.293,0.838,0.8,0.667,N/A,N/A,0.093,0.92,0.515,0.477
IA,0.361,0.54,0.455,0.8,0.308,1,N/A,N/A,0.081,0.893,0.398,0.488
ME,0.475,0.595,0.553,N/A,N/A,N/A,N/A,N/A,0.135,0.901,0.473,0.57
MI,0.486,0.543,0.483,N/A,N/A,N/A,N/A,N/A,0.088,0.925,0.589,0.503
NC,0.494,0.44,0.319,0.861,0.091,0,N/A,N/A,0.082,0.831,0.419,0.335
NV,0.454,0.516,0.437,0.46,0.655,0.553,N/A,N/A,0.061,0.841,0.518,0.505
OH,0.378,0.584,0.443,N/A,N/A,N/A,N/A,N/A,0.122,0.854,0.547,0.517
PA,0.47,0.521,0.435,N/A,N/A,N/A,N/A,N/A,0.102,0.838,0.42,0.495
TX,0.487,0.484,0.358,0.83,0.642,0.778,N/A,N/A,0.087,0.893,0.603,0.467
WI,0.526,0.523,0.519,N/A,N/A,N/A,N/A,N/A,0.091,0.959,0.542,0.552
