State,Male,Female,White,Black,Hispanic/Latino,Asian,White + BA/BS,White + No BA/BS,Republican,Democrat,Independent,65+
AZ,0.412,0.499,0.507,0.333,0.3,0.364,N/A,N/A,0.911,0.122,0.304,0.507
FL,0.517,0.399,0.548,0.16,0.212,0.3,N/A,N/A,0.827,0.089,0.466,0.451
GA,0.542,0.443,0.672,0.117,0.167,0.333,N/A,N/A,0.901,0.068,0.352,0.506
IA,0.564,0.386,0.481,0,0.308,0,N/A,N/A,0.89,0.073,0.429,0.494
ME,0.486,0.378,0.418,N/A,N/A,N/A,N/A,N/A,0.84,0.095,0.451,0.413
MI,0.461,0.436,0.49,N/A,N/A,N/A,N/A,N/A,0.893,0.059,0.314,0.48
NC,0.434,0.498,0.604,0.1,0.273,0.2,N/A,N/A,0.891,0.121,0.46,0.583
NV,0.514,0.43,0.544,0.42,0.324,0.342,N/A,N/A,0.923,0.126,0.386,0.485
OH,0.585,0.402,0.536,N/A,N/A,N/A,N/A,N/A,0.858,0.133,0.391,0.477
PA,0.486,0.441,0.535,N/A,N/A,N/A,N/A,N/A,0.876,0.141,0.42,0.486
TX,0.49,0.496,0.632,0.134,0.333,0.111,N/A,N/A,0.899,0.1,0.338,0.494
WI,0.437,0.459,0.464,N/A,N/A,N/A,N/A,N/A,0.909,0.029,0.391,0.438
