State,Male,Female,White,Black,Hispanic/Latino,Asian,White + BA/BS,White + No BA/BS,Republican,Democrat,Independent,65+
AZ,0.51,0.56,0.43,N/A,0.66,N/A,0.54,0.36,0.05,0.96,0.52,0.47
FL,0.45,0.5,0.4,0.78,0.55,N/A,0.49,0.35,0.08,0.91,0.47,0.48
PA,0.44,0.54,0.46,N/A,N/A,N/A,0.58,0.39,0.08,0.9,0.48,0.53
WI,0.47,0.56,0.51,N/A,N/A,N/A,0.62,0.45,0.04,0.97,0.59,0.54
NV,0.43,0.54,0.41,N/A,N/A,N/A,0.49,0.38,0.07,0.96,0.42,0.51
MI,0.46,0.52,0.46,0.84,N/A,N/A,0.6,0.39,0.04,0.95,0.44,0.59
TX,0.36,0.51,0.3,0.78,0.57,N/A,0.38,0.25,0.04,0.93,0.4,0.42
NC,0.45,0.51,0.38,0.88,N/A,N/A,0.49,0.31,0.05,0.94,0.51,0.45
GA,0.39,0.51,0.28,0.81,N/A,N/A,0.4,0.18,0.03,0.95,0.44,0.41
IA,0.37,0.55,N/A,N/A,N/A,N/A,0.55,0.41,0.05,0.94,0.49,0.49
KS,0.32,0.49,0.39,N/A,N/A,N/A,0.51,0.31,0.1,0.94,0.46,0.42
MT,0.35,0.51,N/A,N/A,N/A,N/A,0.59,0.34,0.07,0.94,0.4,0.48
OH,0.39,0.51,0.42,N/A,N/A,N/A,0.55,0.35,0.07,0.94,0.42,0.46
