State,Male,Female,White,Black,Hispanic/Latino,Asian,White + BA/BS,White + No BA/BS,Republican,Democrat,Independent,65+
AZ,0.49,0.38,0.5,N/A,0.26,N/A,0.39,0.58,0.91,0.02,0.34,0.48
FL,0.47,0.41,0.54,0.11,0.33,N/A,0.45,0.59,0.9,0.04,0.37,0.46
PA,0.47,0.4,0.48,N/A,N/A,N/A,0.36,0.56,0.89,0.06,0.36,0.41
WI,0.45,0.37,0.43,N/A,N/A,N/A,0.34,0.47,0.94,0.02,0.29,0.43
NV,0.5,0.36,0.52,N/A,N/A,N/A,0.44,0.55,0.89,0.03,0.42,0.45
MI,0.44,0.39,0.47,0.04,N/A,N/A,0.33,0.54,0.92,0.03,0.37,0.36
TX,0.55,0.41,0.62,0.12,0.34,N/A,0.54,0.69,0.94,0.04,0.41,0.54
NC,0.47,0.44,0.57,0.05,N/A,N/A,0.45,0.65,0.93,0.04,0.36,0.53
GA,0.51,0.41,0.65,0.09,N/A,N/A,0.52,0.76,0.96,0.01,0.36,0.51
IA,0.51,0.36,N/A,N/A,N/A,N/A,0.36,0.48,0.9,0.03,0.32,0.42
KS,0.56,0.41,0.51,N/A,N/A,N/A,0.42,0.57,0.84,0.03,0.33,0.53
MT,0.55,0.43,N/A,N/A,N/A,N/A,0.34,0.59,0.91,0.05,0.46,0.47
OH,0.49,0.4,0.49,N/A,N/A,N/A,0.37,0.55,0.89,0.04,0.38,0.48
