State,Male,Female,White,Black,Hispanic/Latino,Asian,White + BA/BS,White + No BA/BS,Republican,Democrat,Independent,65+
AL,0.67,0.54,0.73,0.07,0.51,0.47,0.605,0.785,0.94,0.02,0.27,0.66
AZ,0.55,0.4,0.51,0.2,0.32,0.41,0.54,0.575,0.92,0.02,0.25,0.49
CA,0.4,0.28,0.37,0.14,0.27,0.31,0.265,0.475,0.89,0.02,0.21,0.34
CO,0.47,0.34,0.41,0.23,0.3,0.31,0.305,0.525,0.93,0.01,0.25,0.42
FL,0.54,0.41,0.55,0.11,0.38,0.41,0.43,0.62,0.92,0.02,0.24,0.49
GA,0.55,0.42,0.64,0.06,0.38,0.34,0.485,0.725,0.94,0.01,0.21,0.53
IA,0.6,0.39,0.5,0.28,0.28,0.47,0.375,0.55,0.94,0.03,0.28,0.45
KY,0.65,0.52,0.61,0.12,0.45,0.33,0.44,0.675,0.94,0.09,0.3,0.55
ME,0.45,0.35,0.39,0.52,0.22,N/A,0.235,0.48,0.9,0.03,0.3,0.35
MI,0.51,0.38,0.48,0.1,0.37,0.25,0.35,0.54,0.93,0.02,0.26,0.45
MN,0.51,0.33,0.42,0.25,0.33,0.26,0.285,0.51,0.94,0.01,0.25,0.37
MT,0.58,0.47,0.52,N/A,0.41,N/A,0.35,0.6,0.96,0.01,0.32,0.48
NV,0.54,0.42,0.53,0.15,0.34,0.43,0.435,0.575,0.93,0.03,0.27,0.49
NH,0.49,0.31,0.4,N/A,0.36,N/A,0.275,0.475,0.91,0.01,0.26,0.38
NY,0.41,0.26,0.38,0.08,0.21,0.23,0.25,0.51,0.88,0.02,0.22,0.33
NC,0.54,0.4,0.55,0.07,0.37,0.4,0.375,0.66,0.94,0.02,0.28,0.48
OH,0.57,0.42,0.53,0.11,0.38,0.31,0.38,0.595,0.93,0.03,0.26,0.49
OR,0.44,0.3,0.37,0.31,0.23,0.27,0.21,0.465,0.92,0.02,0.23,0.38
PA,0.54,0.38,0.49,0.11,0.28,0.27,0.325,0.565,0.91,0.04,0.26,0.45
SC,0.61,0.43,0.63,0.07,0.48,0.58,0.49,0.705,0.94,0.01,0.24,0.54
TX,0.56,0.43,0.6,0.1,0.36,0.41,0.48,0.685,0.93,0.02,0.23,0.53
VA,0.48,0.34,0.47,0.07,0.36,0.3,0.33,0.59,0.92,0.01,0.25,0.4
WA,0.42,0.28,0.35,0.2,0.26,0.25,0.24,0.435,0.92,0.01,0.22,0.34
WI,0.53,0.35,0.46,0.14,0.33,0.16,0.315,0.525,0.94,0.01,0.26,0.43
National,0.52,0.38,0.5,0.11,0.35,0.32,0.365,0.595,0.92,0.02,0.24,0.44
